SymptomID,Active,SectionID,DisplayName,LegacySurveyName,OriginalPDFName,Description,DisplayOrder,ClinicalOrder,Notes
SYM-0001,TRUE,SEC-001,Abnormal irritability,,Abnormal irritability,,10,110,
SYM-0002,TRUE,SEC-001,Anxiety or nervousness,,Anxiety or nervousness,,20,60,
SYM-0003,TRUE,SEC-001,Crying easily,,Crying easily,,30,40,
SYM-0004,TRUE,SEC-001,Depression,,Depression,,40,10,
SYM-0005,TRUE,SEC-001,Excessive worry,,Excessive worry,,50,80,
SYM-0006,TRUE,SEC-001,Feeling close to tears,,Feeling close to tears,,60,20,
SYM-0007,TRUE,SEC-001,Feeling hopeless,,Feeling hopeless,,70,30,
SYM-0008,TRUE,SEC-001,Fixed attention,,Fixed attention,,80,90,
SYM-0009,TRUE,SEC-001,Mood swings,,Mood swings,,90,100,
SYM-0010,TRUE,SEC-001,Panic attacks,,Panic attacks,,100,70,
SYM-0011,TRUE,SEC-001,PMS,,PMS,,110,120,
SYM-0012,TRUE,SEC-001,Postpartum depression,,Postpartum depression,,120,130,
SYM-0013,TRUE,SEC-001,Suicidal thoughts,,Suicidal thoughts,,130,50,
SYM-0014,TRUE,SEC-002,Alzheimer's,,Alzheimer,,10,80,Display wording normalized from 'Alzheimer'.
SYM-0015,TRUE,SEC-002,Dementia,,Dementia,,20,60,
SYM-0016,TRUE,SEC-002,Forgetfulness,,Forgetfulness,,30,40,
SYM-0017,TRUE,SEC-002,Mental confusion,,Mental confusion,,40,20,
SYM-0018,TRUE,SEC-002,Mental fog,,Mental fog,,50,10,
SYM-0019,TRUE,SEC-002,Poor concentration,,Poor concentration,,60,30,
SYM-0020,TRUE,SEC-002,Senility,,Senility,,70,70,
SYM-0021,TRUE,SEC-002,Short term memory loss,,Short term memory loss,,80,50,
SYM-0022,TRUE,SEC-003,Excessive dreaming,,Excessive dreaming,,10,60,
SYM-0023,TRUE,SEC-003,Getting up to urinate,,Getting up to urinate,,20,80,
SYM-0024,TRUE,SEC-003,Insomnia,,Insomnia,,30,20,
SYM-0025,TRUE,SEC-003,Nightmares,,Nightmares,,40,70,
SYM-0026,TRUE,SEC-003,Restless sleep,,Restless sleep,,50,30,
SYM-0027,TRUE,SEC-003,Trouble falling asleep,,Trouble falling asleep,,60,10,
SYM-0028,TRUE,SEC-003,Trouble staying asleep,,Trouble staying asleep,,70,40,
SYM-0029,TRUE,SEC-003,Waking too early,,Waking too early,,80,50,
SYM-0030,TRUE,SEC-004,Autoimmune disorders,,Auto immune disorders,,10,200,Display wording normalized from 'Auto immune disorders'.
SYM-0031,TRUE,SEC-004,Bone loss,,Bone loss,,20,160,
SYM-0032,TRUE,SEC-004,Breast cancer,,Breast cancer,,30,230,
SYM-0033,TRUE,SEC-004,Cervical cancer,,Cervical cancer,,40,240,
SYM-0034,TRUE,SEC-004,Chronic fatigue,,Chronic fatigue,,50,10,
SYM-0035,TRUE,SEC-004,Dizzy spells,,Dizzy spells,,60,70,
SYM-0036,TRUE,SEC-004,Exhaustion,,Exhaustion,,70,20,
SYM-0037,TRUE,SEC-004,Falling uterus,,Falling uterus,,80,220,
SYM-0038,TRUE,SEC-004,Feeling hotter than others,,Feeling hotter than others,,90,100,
SYM-0039,TRUE,SEC-004,Headaches,,Headaches,,100,30,
SYM-0040,TRUE,SEC-004,Heart palpitations,,Heart races or palpitates,,110,60,
SYM-0041,TRUE,SEC-004,Heat intolerance,,Heat intolerance,,120,110,
SYM-0042,TRUE,SEC-004,Hot flashes,,Hot flashes,,130,120,
SYM-0043,TRUE,SEC-004,Low thyroid,,Low thyroid,,140,130,
SYM-0044,TRUE,SEC-004,Lowered immune response,,Lowered immune function / Lowered immune response,,150,140,Merged with PDF wording 'Lowered immune function' from page 1.
SYM-0045,TRUE,SEC-004,Lupus,,Lupus,,160,210,
SYM-0046,TRUE,SEC-004,Migraines,,Migraines,,170,40,
SYM-0047,TRUE,SEC-004,Nervous system disorders,,Nervous system disorders,,180,190,
SYM-0048,TRUE,SEC-004,Osteopenia,,Osteopenia,,190,170,
